image_path,x1,y1,x2,y2,score
images/000000001083.jpg,168.139140,202.250396,227.716232,255.327746,-0.890707
images/000000001083.jpg,137.030414,171.913223,230.295301,254.968196,-0.983032
images/000000001083.jpg,368.342941,194.337528,427.691700,248.126218,-0.990892
images/000000001083.jpg,366.413109,162.672670,439.976002,212.152571,-0.998840
images/000000001098.jpg,162.583575,263.605622,276.382451,359.395179,-0.969341
images/000000001451.jpg,191.337568,205.395472,438.526520,367.721342,-0.827097
images/000000001451.jpg,450.100427,174.024481,615.750675,415.597797,-0.887469
images/000000001451.jpg,1.000000,155.609738,104.038708,306.527514,-0.926123
images/000000001451.jpg,319.254290,153.765578,456.019059,272.822358,-0.929629
images/000000001451.jpg,273.724804,140.639067,566.295760,369.588400,-0.953087
images/000000001451.jpg,12.627040,147.956215,196.149904,293.470800,-0.954513
images/000000001451.jpg,573.511741,1.000000,640.000000,59.097063,-0.964291
images/000000001451.jpg,540.908836,39.159755,632.622496,94.153578,-0.969111
images/000000001451.jpg,98.179292,180.080610,481.220257,406.468073,-0.991521
images/000000002124.jpg,208.994952,192.212025,278.609130,229.112468,-0.873649
images/000000002415.jpg,461.812811,245.856011,571.294417,398.438204,-0.928223
images/000000002415.jpg,55.738636,117.031688,298.393456,318.071907,-0.968895
images/000000002415.jpg,571.935365,419.633068,640.000000,477.476837,-0.975446
images/000000002415.jpg,1.000000,53.748746,608.143564,412.317413,-0.984530
images/000000003321.jpg,86.412144,122.383132,618.017769,447.753285,-0.831601
images/000000003321.jpg,492.242155,30.363189,571.567644,78.173885,-0.903788
images/000000003480.jpg,99.906234,121.212199,244.484263,328.887678,-0.609482
images/000000003480.jpg,239.701771,150.173886,386.566118,356.833802,-0.752080
images/000000003480.jpg,70.442512,103.205358,275.076109,409.805796,-0.753877
images/000000003480.jpg,307.801769,121.425468,509.368340,305.370644,-0.901991
images/000000003480.jpg,166.402591,137.671417,443.245857,365.546906,-0.905876
images/000000003480.jpg,288.488393,141.280691,585.256649,383.389054,-0.954772
images/000000003480.jpg,44.219561,68.823593,423.670527,382.936634,-0.985015
images/000000003771.jpg,170.896063,84.069776,428.107124,457.000000,-0.847897
images/000000003771.jpg,4.920178,365.796738,104.364657,450.231489,-0.959036
images/000000003771.jpg,426.914548,394.985392,533.674649,454.745704,-0.999626
images/000000004739.jpg,191.460592,111.791906,506.305070,305.676947,-0.848342
images/000000004739.jpg,80.843507,69.187609,150.522322,112.393398,-0.975798
images/000000005005.jpg,225.266508,164.710620,349.426384,273.925987,-0.967840
images/000000005005.jpg,313.516743,170.978876,391.659627,281.303005,-0.989357
images/000000005005.jpg,221.783680,76.443038,452.495137,276.066867,-0.994449
